Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Saturday 16.1.2021 16:00;No metering data available for this period;3,66;-17,50
Saturday 16.1.2021 17:00;No metering data available for this period;4,10;-18,70
Saturday 16.1.2021 18:00;No metering data available for this period;2,73;-19,50
Saturday 16.1.2021 19:00;No metering data available for this period;3,29;-20,20
Saturday 16.1.2021 20:00;No metering data available for this period;3,16;-20,60
Saturday 16.1.2021 21:00;No metering data available for this period;3,32;-20,70
Saturday 16.1.2021 22:00;3,16;No metering data available for this period;-20,70
Saturday 16.1.2021 23:00;3,07;No metering data available for this period;-21,10
Sunday 17.1.2021 00:00;3,00;No metering data available for this period;-21,30
Sunday 17.1.2021 01:00;2,07;No metering data available for this period;-21,50
Sunday 17.1.2021 02:00;2,11;No metering data available for this period;-21,70
Sunday 17.1.2021 03:00;2,11;No metering data available for this period;-21,20
Sunday 17.1.2021 04:00;2,10;No metering data available for this period;-20,00
Sunday 17.1.2021 05:00;2,10;No metering data available for this period;-19,00
Sunday 17.1.2021 06:00;2,20;No metering data available for this period;-18,50
Sunday 17.1.2021 07:00;No metering data available for this period;3,12;-17,40
Sunday 17.1.2021 08:00;No metering data available for this period;2,97;-16,60
Sunday 17.1.2021 09:00;No metering data available for this period;3,48;-15,90
Sunday 17.1.2021 10:00;No metering data available for this period;3,81;-15,30
Sunday 17.1.2021 11:00;No metering data available for this period;2,84;-13,50
Sunday 17.1.2021 12:00;No metering data available for this period;3,54;-12,10
Sunday 17.1.2021 13:00;No metering data available for this period;5,72;-10,50
Sunday 17.1.2021 14:00;No metering data available for this period;2,43;-9,60
Sunday 17.1.2021 15:00;No metering data available for this period;2,40;-10,70
Sunday 17.1.2021 16:00;No metering data available for this period;3,37;-11,40
Sunday 17.1.2021 17:00;No metering data available for this period;3,67;-11,20
Sunday 17.1.2021 18:00;No metering data available for this period;2,78;-11,40
Sunday 17.1.2021 19:00;No metering data available for this period;2,65;-10,80
Sunday 17.1.2021 20:00;No metering data available for this period;2,97;-10,70
Sunday 17.1.2021 21:00;No metering data available for this period;3,26;-10,60
